GENESIS-Tabelle: 12111-12-01-4
Bevölkerung nach Geschlecht, Erwerbsstatus;;;;;;;;;;;;;
und Altersgruppen - Stichtag 09.05.2011 -;;;;;;;;;;;;;
regionale Tiefe: Kreise und krfr. Städte;;;;;;;;;;;;;
Zensus 2011;;;;;;;;;;;;;
09.05.2011;;;;;;;;;;;;;
;;;Bevölkerung nach Erwerbsstatus;Erwerbspersonen;Erwerbstätige;Erwerbstätige;Erwerbstätige;Erwerbslose;Erwerbslose;Erwerbslose;Nichterwerbspersonen;Nichterwerbspersonen;Nichterwerbspersonen
;;;;;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich
;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
12063;      Havelland, Landkreis;25 bis unter 30 Jahre;7400;6330;6000;3190;2810;330;/;/;1060;370;690
12063;      Havelland, Landkreis;30 bis unter 35 Jahre;7620;7020;6610;3230;3370;410;/;/;610;/;340
12063;      Havelland, Landkreis;35 bis unter 40 Jahre;8450;7780;7410;3730;3690;370;/;/;670;/;470
12063;      Havelland, Landkreis;40 bis unter 45 Jahre;12930;12090;11780;5680;6090;310;/;/;840;/;540
12063;      Havelland, Landkreis;45 bis unter 50 Jahre;15880;14380;13690;7180;6510;680;/;340;1510;650;860
12063;      Havelland, Landkreis;50 bis unter 55 Jahre;13260;11720;10960;5580;5380;770;500;/;1540;660;880
12063;      Havelland, Landkreis;55 bis unter 60 Jahre;11830;9400;8980;4580;4410;420;/;/;2430;1030;1390
12063;      Havelland, Landkreis;60 bis unter 65 Jahre;7980;4170;3820;2140;1680;/;/;/;3810;1580;2220
12063;      Havelland, Landkreis;65 bis unter 70 Jahre;9420;1240;1230;770;450;/;/;/;8180;3610;4580
12063;      Havelland, Landkreis;70 bis unter 75 Jahre;10880;700;700;490;/;/;/;/;10180;4520;5660
12063;      Havelland, Landkreis;75 bis unter 80 Jahre;6520;/;/;/;/;/;/;/;6210;2620;3590
12063;      Havelland, Landkreis;80 bis unter 85 Jahre;3600;/;/;/;/;/;/;/;3530;1220;2310
12063;      Havelland, Landkreis;85 bis unter 90 Jahre;1570;/;/;/;/;/;/;/;1520;450;1070
